table,item_name,url,description
t2,Federal Housing Admin: Note Sales,http://portal.hud.gov/hudportal/HUD?src=/press/press_releases_media_advisories/2013/HUDNo.13-066,These are sales of pools of mortgages insured by the Federal Housing Administration that are headed for foreclosure.
t2,Federal Railroad Admin,http://www.fra.dot.gov/Page/P0001,This is the arm of the Department of Transportation that regulates railroads.
t2,Federal Reserve Earnings,http://www.federalreserve.gov/,This is interest the Treasury earns on the cash it holds on deposit with the Federal Reserve in its Federal Reserve Account.
t2,Federal Salaries ( EFT ),http://www.opm.gov/,"These are salary payments to Federal employees, except for military active duty personnel, whose payroll is processed separately."
t2,Federal Trade Commission,http://www.ftc.gov/,This is the govenment agency that reviews mergers and complaints of unfair competition by businesess.
t2,Federal Transit Admin,http://www.fta.dot.gov/,This is the arm of the Department of Transportation that finances public transit.
t2,Food Stamps,http://www.fns.usda.gov/snap/supplemental-nutrition-assistance-program-snap,"The Food Stamps line item and 'Food and Nutrition Service ( misc )' together add up to payments for the Supplemental Nutrition Assistance Program (SNAP), which helps low-income families buy food."
t2,Food and Nutrition Service ( misc ),http://www.fns.usda.gov/snap/supplemental-nutrition-assistance-program-snap,"The Food Stamps line item and 'Food and Nutrition Service ( misc )' together add up to payments for the Supplemental Nutrition Assistance Program (SNAP), which helps low-income families buy food."
t2,Foreign Deposits Military Sales,http://www.dsca.mil/programs/foreign-military-sales-fms,"These are government-to-government sales of military weapons between the U.S. and its allies. As of Oct. 3, 2016 this line item was renamed to ""Foreign Military Sales Program."""
t2,Foreign Military Sales Program,http://www.dsca.mil/programs/foreign-military-sales-fms,These are government-to-government sales of military weapons between the U.S. and its allies.
t2,GSA Programs,http://www.gsa.gov/portal/category/100000,"These are the operations of the U.S. General Services Administration, which is the real estate management arm of the Federal government."
t2,GSE Dividends,http://www.treasury.gov/Pages/default.aspx,These are dividends received from Fannie Mae and Freddie Mac under the Treasury's September 2008 bailout for the two Federally-backed mortgage lenders.
t2,GSE Investment,http://www.treasury.gov/Pages/default.aspx,These are periodic payments Treasury makes to Fannie Mae and Freddie Mac under its September 2008 bailout for the two Federally-backed mortgage lenders.
t2,GSE MBS Purchase Program Income,,"Proceeds from the Government Sponsored Enterprises' Mortgage Backed Security (MBS) Program, which was created to support the availability of mortgage credit by temporarily providing additional capital to the mortgage market."
t2,GSE Obligations HFA Initiative,,"Spending by the Housing Finance Agency (HFA) Initiative, which helps persons and families of low or moderate income attain affordable housing."
t2,Gas and Oil Lease Sales Proceeds,http://www.blm.gov/ak/st/en/prog/energy/oil_gas/npra.html,These are proceeds from leases of Federal land for oil ang gas drilling on the National Petroleum Reserve in Alaska.
t2,HHS Deposit Fund Transfers to States,,Transfer by Health and Human Services (HHS) from Federal Tax Refund Offset Program to various state agencies for delinquent child support.
t2,HHS: Indian Health Service,http://www.ihs.gov/,The Indian Health Service is an agency within the Department of Health and Human Services responsible for providing Federal health services to Native American Indians and Alaska Natives.
t2,HUD: Hurricane Relief,,This line item is no longer in use.
t2,Health and Human Services Grants ( misc ),http://www.hhs.gov/grants/,"This line items totals grants awarded by the Department of Health and Human Services, the largest grant-making agency within the Federal government."
t2,Housing and Urban Development programs,http://portal.hud.gov/hudportal/HUD,"These are all the programs managed by the Department of Housing and Urban Development, which finances and regulates the U.S. housing markets."
t2,IRS Tax Refunds Business ( EFT ),http://www.irs.gov/,These are IRS tax refunds to businesses processed as electronic funds transfers.
t2,IRS Tax Refunds Individual ( EFT ),http://www.irs.gov/,These are IRS tax refunds to individuals processed as electronic funds transfers.
t2,Individual Income and Employment Taxes Not Withheld,http://www.irs.gov/,"These are personal income and employment taxes collected directly by the IRS, not via an employer withholding."
t2,Inter American Development Bank,http://www.iadb.org/,These are payments made by the Treasury to the Inter-American Development Bank.
t2,Interest on Treasury Securities,http://www.fiscal.treasury.gov/,This is interest the Treasury pays to investors who have bought Treasury securities.
t2,Interest recd from cash investments,,This line item is no longer in use.
t2,Interior,http://www.doi.gov/index.cfm,This is a line item for programs run by the Department of the Interior not separately broken out elsewhere.
t2,Interior: Bureau of Land Management,http://www.blm.gov/wo/st/en.html,This is the division of the Department of the Interior that looks after all the land owned by the Federal government.
t2,Interior: Bureau of Reclamation,http://www.usbr.gov/,The Department of the Interior's Bureau of Reclamation is a wholesale water provider in the Western U.S.
t2,Interior: Office of Surface Mining,http://www.osmre.gov/,This is the division of the Department of the Interior in charge of regulating the surface coal mining industry.
t2,Interior: Office of Territories,http://www.doi.gov/oia/index.cfm,"This is the division of the Department of the Interior's Office of Insular Affairs, which administers U.S. territories."
t2,International Monetary Fund,http://www.imf.org/external/index.htm,These are Treasury payments by the Treasury to the International Monetary Fund.
t2,Interntl Security Assistance ( DSCA ),http://www.dsca.mil/,The Defense Security Cooperation Agency sells weapons and provides related training to U.S. allies.
t2,Justice Department programs,http://www.justice.gov/,"This line item reflects the activities of the Department of Justice, excluding U.S. courts."
